season,date_code,weekending,region,Total_ILI,Total_Patients_Seen,Percent_ILI,Number_Providers_Reporting
2001-2002,200140,10/06/2001,Bay Area,3,135,2.22,2
2001-2002,200140,10/06/2001,California,25,1211,2.06,14
2001-2002,200140,10/06/2001,Central,0,0,,0
2001-2002,200140,10/06/2001,Lower Southern,2,336,0.60,4
2001-2002,200140,10/06/2001,Northern,20,529,3.78,4
2001-2002,200140,10/06/2001,Upper Southern,0,211,0.00,4
2001-2002,200141,10/13/2001,Bay Area,3,68,4.41,1
2001-2002,200141,10/13/2001,California,38,1845,2.06,19
2001-2002,200141,10/13/2001,Central,0,0,,0
2001-2002,200141,10/13/2001,Lower Southern,3,343,0.87,5
2001-2002,200141,10/13/2001,Northern,26,740,3.51,6
2001-2002,200141,10/13/2001,Upper Southern,6,694,0.86,7
2001-2002,200142,10/20/2001,Bay Area,21,300,7.00,4
2001-2002,200142,10/20/2001,California,80,2996,2.67,29
2001-2002,200142,10/20/2001,Central,0,0,,0
2001-2002,200142,10/20/2001,Lower Southern,3,320,0.94,4
2001-2002,200142,10/20/2001,Northern,23,844,2.73,7
2001-2002,200142,10/20/2001,Upper Southern,33,1532,2.15,14
2001-2002,200143,10/27/2001,Bay Area,24,467,5.14,4
2001-2002,200143,10/27/2001,California,79,3048,2.59,30
2001-2002,200143,10/27/2001,Central,0,0,,0
2001-2002,200143,10/27/2001,Lower Southern,8,374,2.14,5
2001-2002,200143,10/27/2001,Northern,32,892,3.59,8
2001-2002,200143,10/27/2001,Upper Southern,15,1315,1.14,13
2001-2002,200144,11/03/2001,Bay Area,52,627,8.29,5
2001-2002,200144,11/03/2001,California,105,3015,3.48,30
2001-2002,200144,11/03/2001,Central,0,0,,0
2001-2002,200144,11/03/2001,Lower Southern,5,363,1.38,5
2001-2002,200144,11/03/2001,Northern,33,890,3.71,8
2001-2002,200144,11/03/2001,Upper Southern,15,1135,1.32,12
2001-2002,200145,11/10/2001,Bay Area,38,664,5.72,6
2001-2002,200145,11/10/2001,California,65,2894,2.25,27
2001-2002,200145,11/10/2001,Central,0,0,,0
2001-2002,200145,11/10/2001,Lower Southern,0,337,0.00,5
2001-2002,200145,11/10/2001,Northern,16,813,1.97,6
2001-2002,200145,11/10/2001,Upper Southern,11,1080,1.02,10
2001-2002,200146,11/17/2001,Bay Area,40,567,7.05,6
2001-2002,200146,11/17/2001,California,353,4569,7.73,32
2001-2002,200146,11/17/2001,Central,23,143,16.08,3
2001-2002,200146,11/17/2001,Lower Southern,3,332,0.90,4
2001-2002,200146,11/17/2001,Northern,21,692,3.03,7
2001-2002,200146,11/17/2001,Upper Southern,266,2835,9.38,12
2001-2002,200147,11/24/2001,Bay Area,15,304,4.93,6
2001-2002,200147,11/24/2001,California,204,3877,5.26,35
2001-2002,200147,11/24/2001,Central,21,206,10.19,3
2001-2002,200147,11/24/2001,Lower Southern,5,292,1.71,5
2001-2002,200147,11/24/2001,Northern,14,677,2.07,8
2001-2002,200147,11/24/2001,Upper Southern,149,2398,6.21,13
2001-2002,200148,12/01/2001,Bay Area,27,515,5.24,4
2001-2002,200148,12/01/2001,California,229,4694,4.88,31
2001-2002,200148,12/01/2001,Central,22,151,14.57,3
2001-2002,200148,12/01/2001,Lower Southern,3,338,0.89,5
2001-2002,200148,12/01/2001,Northern,17,922,1.84,8
2001-2002,200148,12/01/2001,Upper Southern,160,2768,5.78,11
2001-2002,200149,12/08/2001,Bay Area,28,502,5.58,6
2001-2002,200149,12/08/2001,California,107,3205,3.34,34
2001-2002,200149,12/08/2001,Central,34,287,11.85,3
2001-2002,200149,12/08/2001,Lower Southern,2,374,0.53,6
2001-2002,200149,12/08/2001,Northern,26,865,3.01,8
2001-2002,200149,12/08/2001,Upper Southern,17,1177,1.44,11
2001-2002,200150,12/15/2001,Bay Area,26,632,4.11,7
2001-2002,200150,12/15/2001,California,94,3234,2.91,34
2001-2002,200150,12/15/2001,Central,26,192,13.54,3
2001-2002,200150,12/15/2001,Lower Southern,5,444,1.13,6
2001-2002,200150,12/15/2001,Northern,25,768,3.26,7
2001-2002,200150,12/15/2001,Upper Southern,12,1198,1.00,11
2001-2002,200151,12/22/2001,Bay Area,26,578,4.50,6
2001-2002,200151,12/22/2001,California,90,3046,2.95,32
2001-2002,200151,12/22/2001,Central,26,268,9.70,3
2001-2002,200151,12/22/2001,Lower Southern,5,372,1.34,5
2001-2002,200151,12/22/2001,Northern,15,688,2.18,8
2001-2002,200151,12/22/2001,Upper Southern,18,1140,1.58,10
2001-2002,200152,12/29/2001,Bay Area,27,484,5.58,6
2001-2002,200152,12/29/2001,California,92,2201,4.18,30
2001-2002,200152,12/29/2001,Central,34,192,17.71,3
2001-2002,200152,12/29/2001,Lower Southern,2,205,0.98,4
2001-2002,200152,12/29/2001,Northern,14,541,2.59,7
2001-2002,200152,12/29/2001,Upper Southern,15,779,1.93,10
2001-2002,200201,01/05/2002,Bay Area,46,707,6.51,6
2001-2002,200201,01/05/2002,California,101,2625,3.85,29
2001-2002,200201,01/05/2002,Central,25,206,12.14,2
2001-2002,200201,01/05/2002,Lower Southern,0,172,0.00,4
2001-2002,200201,01/05/2002,Northern,19,648,2.93,8
2001-2002,200201,01/05/2002,Upper Southern,11,892,1.23,9
2001-2002,200202,01/12/2002,Bay Area,41,672,6.10,7
2001-2002,200202,01/12/2002,California,127,3524,3.60,33
2001-2002,200202,01/12/2002,Central,41,304,13.49,3
2001-2002,200202,01/12/2002,Lower Southern,0,296,0.00,5
2001-2002,200202,01/12/2002,Northern,23,894,2.57,7
2001-2002,200202,01/12/2002,Upper Southern,22,1358,1.62,11
2001-2002,200203,01/19/2002,Bay Area,46,711,6.47,7
2001-2002,200203,01/19/2002,California,118,3253,3.63,31
2001-2002,200203,01/19/2002,Central,28,239,11.72,3
2001-2002,200203,01/19/2002,Lower Southern,1,319,0.31,4
2001-2002,200203,01/19/2002,Northern,28,915,3.06,7
2001-2002,200203,01/19/2002,Upper Southern,15,1069,1.40,10
2001-2002,200204,01/26/2002,Bay Area,51,686,7.43,6
2001-2002,200204,01/26/2002,California,127,3261,3.89,31
2001-2002,200204,01/26/2002,Central,22,186,11.83,3
2001-2002,200204,01/26/2002,Lower Southern,5,264,1.89,3
2001-2002,200204,01/26/2002,Northern,28,962,2.91,10
2001-2002,200204,01/26/2002,Upper Southern,21,1163,1.81,9
2001-2002,200205,02/02/2002,Bay Area,69,768,8.98,7
2001-2002,200205,02/02/2002,California,170,3663,4.64,36
2001-2002,200205,02/02/2002,Central,30,219,13.70,3
2001-2002,200205,02/02/2002,Lower Southern,10,330,3.03,5
2001-2002,200205,02/02/2002,Northern,34,941,3.61,10
2001-2002,200205,02/02/2002,Upper Southern,27,1405,1.92,11
2001-2002,200206,02/09/2002,Bay Area,87,796,10.93,8
2001-2002,200206,02/09/2002,California,158,3036,5.20,29
2001-2002,200206,02/09/2002,Central,18,135,13.33,2
2001-2002,200206,02/09/2002,Lower Southern,8,253,3.16,3
2001-2002,200206,02/09/2002,Northern,31,708,4.38,7
2001-2002,200206,02/09/2002,Upper Southern,14,1144,1.22,9
2001-2002,200207,02/16/2002,Bay Area,90,709,12.69,7
2001-2002,200207,02/16/2002,California,164,2814,5.83,27
2001-2002,200207,02/16/2002,Central,26,225,11.56,3
2001-2002,200207,02/16/2002,Lower Southern,0,142,0.00,3
2001-2002,200207,02/16/2002,Northern,34,820,4.15,6
2001-2002,200207,02/16/2002,Upper Southern,14,918,1.53,8
2001-2002,200208,02/23/2002,Bay Area,39,422,9.24,5
2001-2002,200208,02/23/2002,California,135,2049,6.59,25
2001-2002,200208,02/23/2002,Central,28,209,13.40,3
2001-2002,200208,02/23/2002,Lower Southern,11,308,3.57,4
2001-2002,200208,02/23/2002,Northern,45,565,7.96,6
2001-2002,200208,02/23/2002,Upper Southern,12,545,2.20,7
2001-2002,200209,03/02/2002,Bay Area,61,658,9.27,5
2001-2002,200209,03/02/2002,California,150,2444,6.14,25
2001-2002,200209,03/02/2002,Central,36,219,16.44,3
2001-2002,200209,03/02/2002,Lower Southern,10,335,2.99,5
2001-2002,200209,03/02/2002,Northern,40,583,6.86,6
2001-2002,200209,03/02/2002,Upper Southern,3,649,0.46,6
2001-2002,200210,03/09/2002,Bay Area,76,736,10.33,7
2001-2002,200210,03/09/2002,California,160,2838,5.64,26
2001-2002,200210,03/09/2002,Central,11,42,26.19,1
2001-2002,200210,03/09/2002,Lower Southern,8,308,2.60,4
2001-2002,200210,03/09/2002,Northern,30,715,4.20,6
2001-2002,200210,03/09/2002,Upper Southern,35,1037,3.38,8
2001-2002,200211,03/16/2002,Bay Area,26,430,6.05,3
2001-2002,200211,03/16/2002,California,117,2348,4.98,20
2001-2002,200211,03/16/2002,Central,15,238,6.30,3
2001-2002,200211,03/16/2002,Lower Southern,16,296,5.41,3
2001-2002,200211,03/16/2002,Northern,32,613,5.22,4
2001-2002,200211,03/16/2002,Upper Southern,28,771,3.63,7
2001-2002,200212,03/23/2002,Bay Area,45,596,7.55,5
2001-2002,200212,03/23/2002,California,94,2247,4.18,21
2001-2002,200212,03/23/2002,Central,22,218,10.09,3
2001-2002,200212,03/23/2002,Lower Southern,11,201,5.47,3
2001-2002,200212,03/23/2002,Northern,9,553,1.63,4
2001-2002,200212,03/23/2002,Upper Southern,7,679,1.03,6
2001-2002,200213,03/30/2002,Bay Area,55,671,8.20,6
2001-2002,200213,03/30/2002,California,108,2102,5.14,21
2001-2002,200213,03/30/2002,Central,14,195,7.18,3
2001-2002,200213,03/30/2002,Lower Southern,14,299,4.68,3
2001-2002,200213,03/30/2002,Northern,14,571,2.45,4
2001-2002,200213,03/30/2002,Upper Southern,11,366,3.01,5
2001-2002,200214,04/06/2002,Bay Area,15,194,7.73,2
2001-2002,200214,04/06/2002,California,54,1668,3.24,18
2001-2002,200214,04/06/2002,Central,6,110,5.45,3
2001-2002,200214,04/06/2002,Lower Southern,15,193,7.77,3
2001-2002,200214,04/06/2002,Northern,8,643,1.24,4
2001-2002,200214,04/06/2002,Upper Southern,10,528,1.89,6
2001-2002,200215,04/13/2002,Bay Area,0,78,0.00,1
2001-2002,200215,04/13/2002,California,25,1368,1.83,17
2001-2002,200215,04/13/2002,Central,3,108,2.78,2
2001-2002,200215,04/13/2002,Lower Southern,5,275,1.82,4
2001-2002,200215,04/13/2002,Northern,7,534,1.31,4
2001-2002,200215,04/13/2002,Upper Southern,10,373,2.68,6
2001-2002,200216,04/20/2002,Bay Area,2,111,1.80,2
2001-2002,200216,04/20/2002,California,15,1237,1.21,16
2001-2002,200216,04/20/2002,Central,4,127,3.15,2
2001-2002,200216,04/20/2002,Lower Southern,5,196,2.55,3
2001-2002,200216,04/20/2002,Northern,4,547,0.73,4
2001-2002,200216,04/20/2002,Upper Southern,0,256,0.00,5
2001-2002,200217,04/27/2002,Bay Area,0,205,0.00,3
2001-2002,200217,04/27/2002,California,14,1388,1.01,16
2001-2002,200217,04/27/2002,Central,1,92,1.09,2
2001-2002,200217,04/27/2002,Lower Southern,3,115,2.61,2
2001-2002,200217,04/27/2002,Northern,9,643,1.40,4
2001-2002,200217,04/27/2002,Upper Southern,1,333,0.30,5
2001-2002,200218,05/04/2002,Bay Area,0,131,0.00,2
2001-2002,200218,05/04/2002,California,35,1181,2.96,12
2001-2002,200218,05/04/2002,Central,0,78,0.00,1
2001-2002,200218,05/04/2002,Lower Southern,1,111,0.90,2
2001-2002,200218,05/04/2002,Northern,34,532,6.39,3
2001-2002,200218,05/04/2002,Upper Southern,0,329,0.00,4
2001-2002,200219,05/11/2002,Bay Area,4,110,3.64,2
2001-2002,200219,05/11/2002,California,19,1134,1.68,13
2001-2002,200219,05/11/2002,Central,0,84,0.00,1
2001-2002,200219,05/11/2002,Lower Southern,1,103,0.97,2
2001-2002,200219,05/11/2002,Northern,14,535,2.62,3
2001-2002,200219,05/11/2002,Upper Southern,0,302,0.00,5
2001-2002,200220,05/18/2002,Bay Area,7,119,5.88,2
2001-2002,200220,05/18/2002,California,25,1265,1.98,13
2001-2002,200220,05/18/2002,Central,0,65,0.00,1
2001-2002,200220,05/18/2002,Lower Southern,7,114,6.14,2
2001-2002,200220,05/18/2002,Northern,10,535,1.87,3
2001-2002,200220,05/18/2002,Upper Southern,1,432,0.23,5
2001-2002,200221,05/25/2002,Bay Area,2,66,3.03,1
2001-2002,200221,05/25/2002,California,15,957,1.57,12
2001-2002,200221,05/25/2002,Central,1,80,1.25,1
2001-2002,200221,05/25/2002,Lower Southern,2,129,1.55,3
2001-2002,200221,05/25/2002,Northern,2,322,0.62,2
2001-2002,200221,05/25/2002,Upper Southern,8,360,2.22,5
2001-2002,200222,06/01/2002,Bay Area,2,164,1.22,3
2001-2002,200222,06/01/2002,California,5,826,0.61,14
2001-2002,200222,06/01/2002,Central,0,39,0.00,1
2001-2002,200222,06/01/2002,Lower Southern,0,22,0.00,2
2001-2002,200222,06/01/2002,Northern,1,248,0.40,2
2001-2002,200222,06/01/2002,Upper Southern,2,353,0.57,6
2001-2002,200223,06/08/2002,Bay Area,4,194,2.06,3
2001-2002,200223,06/08/2002,California,11,1168,0.94,14
2001-2002,200223,06/08/2002,Central,0,72,0.00,1
